state,state_abbr,state_code,region,diesel_padd,gasoline_padd,lpg_wholesale_padd,lpg_residential_padd,other_padd
ALABAMA,AL,1,SOUTH,GULF COAST,GULF COAST,ALABAMA,US,US
ALASKA,AK,2,WEST,WEST COAST EXCEPT CALIFORNIA,WEST COAST,US,US,US
ARIZONA,AZ,4,WEST,WEST COAST EXCEPT CALIFORNIA,WEST COAST,US,US,US
ARKANSAS,AR,5,SOUTH,GULF COAST,GULF COAST,ARKANSAS,US,US
CALIFORNIA,CA,6,WEST,CALIFORNIA,CALIFORNIA,US,US,US
COLORADO,CO,8,WEST,WEST COAST EXCEPT CALIFORNIA,COLORADO,COLORADO,US,US
CONNECTICUT,CT,9,ATLANTIC,NEW ENGLAND,NEW ENGLAND,EAST COAST,NEW ENGLAND,CONNECTICUT
DELAWARE,DE,10,ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,DELAWARE
FLORIDA,FL,12,SOUTH,LOWER ATLANTIC,FLORIDA,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC
GEORGIA,GA,13,SOUTH,LOWER ATLANTIC,LOWER ATLANTIC,GEORGIA,LOWER ATLANTIC,LOWER ATLANTIC
HAWAII,HI,15,WEST,WEST COAST EXCEPT CALIFORNIA,WEST COAST,US,US,US
IDAHO,ID,16,WEST,WEST COAST EXCEPT CALIFORNIA,WEST COAST,US,US,US
ILLINOIS,IL,17,MIDWEST,MIDWEST,MIDWEST,ILLINOIS,MIDWEST,ILLINOIS
INDIANA,IN,18,MIDWEST,MIDWEST,MIDWEST,INDIANA,MIDWEST,INDIANA
IOWA,IA,19,MIDWEST,MIDWEST,MIDWEST,IOWA,MIDWEST,IOWA
KANSAS,KS,20,PLAINS,MIDWEST,MIDWEST,KANSAS,MIDWEST,KANSAS
KENTUCKY,KY,21,ATLANTIC,MIDWEST,MIDWEST,KENTUCKY,MIDWEST,KENTUCKY
LOUISIANA,LA,22,SOUTH,GULF COAST,GULF COAST,GULF COAST,US,US
MAINE,ME,23,ATLANTIC,NEW ENGLAND,NEW ENGLAND,EAST COAST,NEW ENGLAND,MAINE
MARYLAND,MD,24,ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,MARYLAND,CENTRAL ATLANTIC,MARYLAND
MASSACHUSETTS,MA,25,ATLANTIC,NEW ENGLAND,MASSACHUSETTS,EAST COAST,NEW ENGLAND,MASSACHUSETTS
MICHIGAN,MI,26,MIDWEST,MIDWEST,MIDWEST,MICHIGAN,MIDWEST,MICHIGAN
MINNESOTA,MN,27,MIDWEST,MIDWEST,MINNESOTA,MINNESOTA,MIDWEST,MINNESOTA
MISSISSIPPI,MS,28,SOUTH,GULF COAST,GULF COAST,MISSISSIPPI,US,US
MISSOURI,MO,29,MIDWEST,MIDWEST,MIDWEST,MISSOURI,MIDWEST,MISSOURI
MONTANA,MT,30,WEST,ROCKY MOUNTAIN,ROCKY MOUNTAIN,ROCKY MOUNTAIN,US,US
NEBRASKA,NE,31,PLAINS,MIDWEST,MIDWEST,NEBRASKA,MIDWEST,NEBRASKA
NEVADA,NV,32,WEST,CENTRAL ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC
NEW HAMPSHIRE,NH,33,ATLANTIC,NEW ENGLAND,NEW ENGLAND,EAST COAST,NEW ENGLAND,NEW HAMPSHIRE
NEW JERSEY,NJ,34,ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,NEW JERSEY,CENTRAL ATLANTIC,NEW JERSEY
NEW MEXICO,NM,35,WEST,GULF COAST,GULF COAST,GULF COAST,US,US
NEW YORK,NY,36,ATLANTIC,CENTRAL ATLANTIC,NEW YORK,NEW YORK,CENTRAL ATLANTIC,NEW YORK
NORTH CAROLINA,NC,37,ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,NORTH CAROLINA,LOWER ATLANTIC,NORTH CAROLINA
NORTH DAKOTA,ND,38,PLAINS,MIDWEST,MIDWEST,NORTH DAKOTA,MIDWEST,NORTH DAKOTA
OHIO,OH,39,MIDWEST,MIDWEST,OHIO,OHIO,MIDWEST,OHIO
OKLAHOMA,OK,40,PLAINS,MIDWEST,MIDWEST,OKLAHOMA,MIDWEST,MIDWEST
OREGON,OR,41,WEST,WEST COAST EXCEPT CALIFORNIA,WEST COAST,US,US,US
PENNSYLVANIA,PA,42,ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,PENNSYLVANIA,CENTRAL ATLANTIC,PENNSYLVANIA
RHODE ISLAND,RI,44,ATLANTIC,NEW ENGLAND,NEW ENGLAND,EAST COAST,NEW ENGLAND,RHODE ISLAND
SOUTH CAROLINA,SC,45,SOUTH,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC
SOUTH DAKOTA,SD,46,PLAINS,MIDWEST,MIDWEST,SOUTH DAKOTA,MIDWEST,SOUTH DAKOTA
TENNESSEE,TN,47,ATLANTIC,MIDWEST,MIDWEST,MIDWEST,MIDWEST,MIDWEST
TEXAS,TX,48,PLAINS,GULF COAST,TEXAS,TEXAS,US,US
UTAH,UT,49,WEST,ROCKY MOUNTAIN,ROCKY MOUNTAIN,ROCKY MOUNTAIN,US,US
VERMONT,VT,50,ATLANTIC,NEW ENGLAND,NEW ENGLAND,EAST COAST,NEW ENGLAND,VERMONT
VIRGINIA,VA,51,ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,VIRGINIA,LOWER ATLANTIC,VIRGINIA
WASHINGTON,WA,53,WEST,WEST COAST EXCEPT CALIFORNIA,WASHINGTON,US,US,US
WEST VIRGINIA,WV,54,ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC
WISCONSIN,WI,55,MIDWEST,MIDWEST,MIDWEST,WISCONSIN,MIDWEST,WISCONSIN
WYOMING,WY,56,WEST,ROCKY MOUNTAIN,ROCKY MOUNTAIN,ROCKY MOUNTAIN,US,US
